epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,10774.6,2.79465,1.77067,1.05344,0,0,0,0,0,683.477,0,7.41468e-05,7.41468e-05,7.41468e-05
55,10956,2.82345,1.75793,1.05067,0,0,0,0,0,762.457,0,7.26024e-05,7.26024e-05,7.26024e-05
56,11139.8,2.79158,1.72889,1.04421,0,0,0,0,0,657.777,0,7.1058e-05,7.1058e-05,7.1058e-05
57,11321.7,2.78126,1.73243,1.05296,0,0,0,0,0,684.283,0,6.95136e-05,6.95136e-05,6.95136e-05
58,11503.6,2.77389,1.75184,1.04605,0,0,0,0,0,705.31,0,6.79692e-05,6.79692e-05,6.79692e-05
59,11686.4,2.79669,1.75801,1.04847,0,0,0,0,0,612.72,0,6.64248e-05,6.64248e-05,6.64248e-05
60,11866.5,2.77098,1.75426,1.05836,0,0,0,0,0,659.919,0,6.48804e-05,6.48804e-05,6.48804e-05
61,12046.6,2.79449,1.7286,1.05011,0,0,0,0,0,663.041,0,6.3336e-05,6.3336e-05,6.3336e-05
62,12228.2,2.80017,1.72868,1.04163,0,0,0,0,0,712.422,0,6.17916e-05,6.17916e-05,6.17916e-05
63,12408.8,2.78751,1.73319,1.04684,0,0,0,0,0,625.782,0,6.02472e-05,6.02472e-05,6.02472e-05
64,12590,2.75741,1.73736,1.05204,0,0,0,0,0,686.775,0,5.87028e-05,5.87028e-05,5.87028e-05
65,12769.7,2.76976,1.69323,1.04861,0,0,0,0,0,662.317,0,5.71584e-05,5.71584e-05,5.71584e-05
66,12948.4,2.78927,1.79488,1.04924,0,0,0,0,0,726.747,0,5.5614e-05,5.5614e-05,5.5614e-05
67,13130.3,2.76546,1.73418,1.04917,0,0,0,0,0,653.707,0,5.40696e-05,5.40696e-05,5.40696e-05
68,13308.9,2.78145,1.68745,1.04346,0,0,0,0,0,656.115,0,5.25252e-05,5.25252e-05,5.25252e-05
69,13488.4,2.80617,1.7357,1.03936,0,0,0,0,0,697.477,0,5.09808e-05,5.09808e-05,5.09808e-05
70,13668.2,2.76073,1.73068,1.05007,0,0,0,0,0,643.643,0,4.94364e-05,4.94364e-05,4.94364e-05
71,13847.5,2.75207,1.68672,1.04436,0,0,0,0,0,708.561,0,4.7892e-05,4.7892e-05,4.7892e-05
72,14025.7,2.76543,1.673,1.0461,0,0,0,0,0,685.857,0,4.63476e-05,4.63476e-05,4.63476e-05
73,14204.3,2.73681,1.71575,1.0456,0,0,0,0,0,703.531,0,4.48032e-05,4.48032e-05,4.48032e-05
74,14381.6,2.77278,1.68533,1.04248,0,0,0,0,0,780.575,0,4.32588e-05,4.32588e-05,4.32588e-05
75,14559.7,2.76304,1.703,1.04601,0,0,0,0,0,689.206,0,4.17144e-05,4.17144e-05,4.17144e-05
76,14737,2.73661,1.70288,1.04207,0,0,0,0,0,619.151,0,4.017e-05,4.017e-05,4.017e-05
77,14913.2,2.76261,1.68143,1.0381,0,0,0,0,0,687.785,0,3.86256e-05,3.86256e-05,3.86256e-05
78,15088.1,2.76215,1.65904,1.03746,0,0,0,0,0,688.222,0,3.70812e-05,3.70812e-05,3.70812e-05
79,15264.4,2.72566,1.69952,1.04863,0,0,0,0,0,623.274,0,3.55368e-05,3.55368e-05,3.55368e-05
80,15441.4,2.73314,1.66918,1.04517,0,0,0,0,0,693.15,0,3.39924e-05,3.39924e-05,3.39924e-05
81,15617.8,2.69469,1.70657,1.0472,0,0,0,0,0,736.367,0,3.2448e-05,3.2448e-05,3.2448e-05
82,15793.4,2.76775,1.701,1.04044,0,0,0,0,0,703.404,0,3.09036e-05,3.09036e-05,3.09036e-05
83,15968.8,2.73411,1.67805,1.04422,0,0,0,0,0,686.782,0,2.93592e-05,2.93592e-05,2.93592e-05
84,16145.6,2.74471,1.67791,1.03971,0,0,0,0,0,695.138,0,2.78148e-05,2.78148e-05,2.78148e-05
85,16320.6,2.73682,1.67266,1.03992,0,0,0,0,0,710.424,0,2.62704e-05,2.62704e-05,2.62704e-05
86,16496.3,2.76127,1.69909,1.04473,0,0,0,0,0,679.152,0,2.4726e-05,2.4726e-05,2.4726e-05
87,16671.5,2.71352,1.65979,1.03993,0,0,0,0,0,745.037,0,2.31816e-05,2.31816e-05,2.31816e-05
88,16846.1,2.68964,1.69401,1.04021,0,0,0,0,0,685.389,0,2.16372e-05,2.16372e-05,2.16372e-05
89,17021.4,2.71078,1.68686,1.04399,0,0,0,0,0,726.076,0,2.00928e-05,2.00928e-05,2.00928e-05
90,17197.4,2.7069,1.66798,1.03848,0,0,0,0,0,760.133,0,1.85484e-05,1.85484e-05,1.85484e-05
91,17376.9,2.68269,2.03625,1.05591,0,0,0,0,0,553.809,0,1.7004e-05,1.7004e-05,1.7004e-05
92,17551.5,2.69585,2.03332,1.05447,0,0,0,0,0,657.795,0,1.54596e-05,1.54596e-05,1.54596e-05
93,17726.3,2.69394,2.0764,1.04913,0,0,0,0,0,656.588,0,1.39152e-05,1.39152e-05,1.39152e-05
94,17901,2.71742,2.09676,1.05192,0,0,0,0,0,651.579,0,1.23708e-05,1.23708e-05,1.23708e-05
95,18076.2,2.6742,1.97171,1.05049,0,0,0,0,0,561.803,0,1.08264e-05,1.08264e-05,1.08264e-05
96,18250.3,2.68216,1.92369,1.05111,0,0,0,0,0,587.693,0,9.282e-06,9.282e-06,9.282e-06
97,18426.6,2.63628,1.89417,1.0475,0,0,0,0,0,606.973,0,7.7376e-06,7.7376e-06,7.7376e-06
98,18601,2.65269,2.04042,1.04691,0,0,0,0,0,523.759,0,6.1932e-06,6.1932e-06,6.1932e-06
99,18773.1,2.65115,1.94187,1.0544,0,0,0,0,0,589.28,0,4.6488e-06,4.6488e-06,4.6488e-06
100,18949.4,2.67696,1.97328,1.05157,0,0,0,0,0,557.756,0,3.1044e-06,3.1044e-06,3.1044e-06
